threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,5,300,0,295,0.0166666666667,0.0
0.03,8,300,0,292,0.0266666666667,0.0
0.04,17,300,0,283,0.0566666666667,0.0
0.05,29,300,0,271,0.0966666666667,0.0
0.06,42,300,0,258,0.14,0.0
0.07,52,299,1,248,0.173333333333,0.00333333333333
0.08,64,299,1,236,0.213333333333,0.00333333333333
0.09,71,297,3,229,0.236666666667,0.01
0.1,79,296,4,221,0.263333333333,0.0133333333333
0.11,90,296,4,210,0.3,0.0133333333333
0.12,96,294,6,204,0.32,0.02
0.13,107,293,7,193,0.356666666667,0.0233333333333
0.14,115,292,8,185,0.383333333333,0.0266666666667
0.15,122,290,10,178,0.406666666667,0.0333333333333
0.16,125,289,11,175,0.416666666667,0.0366666666667
0.17,133,287,13,167,0.443333333333,0.0433333333333
0.18,146,285,15,154,0.486666666667,0.05
0.19,154,282,18,146,0.513333333333,0.06
0.2,165,279,21,135,0.55,0.07
0.21,171,277,23,129,0.57,0.0766666666667
0.22,175,276,24,125,0.583333333333,0.08
0.23,179,275,25,121,0.596666666667,0.0833333333333
0.24,186,273,27,114,0.62,0.09
0.25,189,273,27,111,0.63,0.09
0.26,193,272,28,107,0.643333333333,0.0933333333333
0.27,200,270,30,100,0.666666666667,0.1
0.28,201,265,35,99,0.67,0.116666666667
0.29,205,263,37,95,0.683333333333,0.123333333333
0.3,208,260,40,92,0.693333333333,0.133333333333
0.31,210,258,42,90,0.7,0.14
0.32,214,255,45,86,0.713333333333,0.15
0.33,221,255,45,79,0.736666666667,0.15
0.34,224,250,50,76,0.746666666667,0.166666666667
0.35,227,248,52,73,0.756666666667,0.173333333333
0.36,229,246,54,71,0.763333333333,0.18
0.37,233,244,56,67,0.776666666667,0.186666666667
0.38,237,241,59,63,0.79,0.196666666667
0.39,238,241,59,62,0.793333333333,0.196666666667
0.4,240,236,64,60,0.8,0.213333333333
