threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,4,300,0,296,0.0133333333333,0.0
0.03,9,300,0,291,0.03,0.0
0.04,18,300,0,282,0.06,0.0
0.05,23,300,0,277,0.0766666666667,0.0
0.06,33,298,2,267,0.11,0.00666666666667
0.07,46,298,2,254,0.153333333333,0.00666666666667
0.08,56,296,4,244,0.186666666667,0.0133333333333
0.09,65,293,7,235,0.216666666667,0.0233333333333
0.1,72,292,8,228,0.24,0.0266666666667
0.11,82,291,9,218,0.273333333333,0.03
0.12,93,291,9,207,0.31,0.03
0.13,105,290,10,195,0.35,0.0333333333333
0.14,116,286,14,184,0.386666666667,0.0466666666667
0.15,124,285,15,176,0.413333333333,0.05
0.16,133,285,15,167,0.443333333333,0.05
0.17,142,284,16,158,0.473333333333,0.0533333333333
0.18,148,281,19,152,0.493333333333,0.0633333333333
0.19,157,277,23,143,0.523333333333,0.0766666666667
0.2,161,277,23,139,0.536666666667,0.0766666666667
0.21,169,275,25,131,0.563333333333,0.0833333333333
0.22,175,274,26,125,0.583333333333,0.0866666666667
0.23,176,270,30,124,0.586666666667,0.1
0.24,184,268,32,116,0.613333333333,0.106666666667
0.25,190,267,33,110,0.633333333333,0.11
0.26,194,266,34,106,0.646666666667,0.113333333333
0.27,198,264,36,102,0.66,0.12
0.28,199,263,37,101,0.663333333333,0.123333333333
0.29,205,261,39,95,0.683333333333,0.13
0.3,209,260,40,91,0.696666666667,0.133333333333
0.31,214,258,42,86,0.713333333333,0.14
0.32,217,258,42,83,0.723333333333,0.14
0.33,222,254,46,78,0.74,0.153333333333
0.34,225,252,48,75,0.75,0.16
0.35,228,247,53,72,0.76,0.176666666667
0.36,229,242,58,71,0.763333333333,0.193333333333
0.37,230,241,59,70,0.766666666667,0.196666666667
0.38,233,240,60,67,0.776666666667,0.2
0.39,236,240,60,64,0.786666666667,0.2
0.4,239,239,61,61,0.796666666667,0.203333333333
