threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,2,300,0,298,0.00666666666667,0.0
0.02,5,300,0,295,0.0166666666667,0.0
0.03,7,300,0,293,0.0233333333333,0.0
0.04,10,300,0,290,0.0333333333333,0.0
0.05,17,300,0,283,0.0566666666667,0.0
0.06,26,300,0,274,0.0866666666667,0.0
0.07,35,300,0,265,0.116666666667,0.0
0.08,46,299,1,254,0.153333333333,0.00333333333333
0.09,54,299,1,246,0.18,0.00333333333333
0.1,63,299,1,237,0.21,0.00333333333333
0.11,71,298,2,229,0.236666666667,0.00666666666667
0.12,80,298,2,220,0.266666666667,0.00666666666667
0.13,94,298,2,206,0.313333333333,0.00666666666667
0.14,108,296,4,192,0.36,0.0133333333333
0.15,117,296,4,183,0.39,0.0133333333333
0.16,123,294,6,177,0.41,0.02
0.17,127,293,7,173,0.423333333333,0.0233333333333
0.18,134,290,10,166,0.446666666667,0.0333333333333
0.19,146,290,10,154,0.486666666667,0.0333333333333
0.2,150,286,14,150,0.5,0.0466666666667
0.21,156,284,16,144,0.52,0.0533333333333
0.22,158,284,16,142,0.526666666667,0.0533333333333
0.23,169,283,17,131,0.563333333333,0.0566666666667
0.24,176,282,18,124,0.586666666667,0.06
0.25,179,281,19,121,0.596666666667,0.0633333333333
0.26,181,279,21,119,0.603333333333,0.07
0.27,186,277,23,114,0.62,0.0766666666667
0.28,192,274,26,108,0.64,0.0866666666667
0.29,196,271,29,104,0.653333333333,0.0966666666667
0.3,201,268,32,99,0.67,0.106666666667
0.31,202,267,33,98,0.673333333333,0.11
0.32,206,265,35,94,0.686666666667,0.116666666667
0.33,209,264,36,91,0.696666666667,0.12
0.34,213,262,38,87,0.71,0.126666666667
0.35,218,262,38,82,0.726666666667,0.126666666667
0.36,221,260,40,79,0.736666666667,0.133333333333
0.37,224,256,44,76,0.746666666667,0.146666666667
0.38,224,253,47,76,0.746666666667,0.156666666667
0.39,227,250,50,73,0.756666666667,0.166666666667
0.4,229,245,55,71,0.763333333333,0.183333333333
0.41,231,242,58,69,0.77,0.193333333333
0.42,235,241,59,65,0.783333333333,0.196666666667
0.43,236,241,59,64,0.786666666667,0.196666666667
0.44,238,240,60,62,0.793333333333,0.2
0.45,239,238,62,61,0.796666666667,0.206666666667
0.46,242,235,65,58,0.806666666667,0.216666666667
0.47,244,233,67,56,0.813333333333,0.223333333333
0.48,244,232,68,56,0.813333333333,0.226666666667
0.49,244,232,68,56,0.813333333333,0.226666666667
0.5,244,230,70,56,0.813333333333,0.233333333333
0.51,246,226,74,54,0.82,0.246666666667
0.52,247,222,78,53,0.823333333333,0.26
0.53,248,222,78,52,0.826666666667,0.26
0.54,251,220,80,49,0.836666666667,0.266666666667
0.55,252,219,81,48,0.84,0.27
0.56,255,216,84,45,0.85,0.28
0.57,255,213,87,45,0.85,0.29
0.58,257,212,88,43,0.856666666667,0.293333333333
0.59,258,211,89,42,0.86,0.296666666667
0.6,260,209,91,40,0.866666666667,0.303333333333
0.61,260,207,93,40,0.866666666667,0.31
0.62,261,205,95,39,0.87,0.316666666667
0.63,261,204,96,39,0.87,0.32
0.64,261,203,97,39,0.87,0.323333333333
0.65,261,201,99,39,0.87,0.33
0.66,263,200,100,37,0.876666666667,0.333333333333
0.67,265,200,100,35,0.883333333333,0.333333333333
0.68,266,198,102,34,0.886666666667,0.34
0.69,267,198,102,33,0.89,0.34
0.7,267,195,105,33,0.89,0.35
0.71,267,193,107,33,0.89,0.356666666667
0.72,267,190,110,33,0.89,0.366666666667
0.73,268,187,113,32,0.893333333333,0.376666666667
0.74,269,185,115,31,0.896666666667,0.383333333333
0.75,269,182,118,31,0.896666666667,0.393333333333
0.76,269,179,121,31,0.896666666667,0.403333333333
0.77,271,177,123,29,0.903333333333,0.41
0.78,274,177,123,26,0.913333333333,0.41
0.79,275,177,123,25,0.916666666667,0.41
0.8,275,176,124,25,0.916666666667,0.413333333333
0.81,275,175,125,25,0.916666666667,0.416666666667
0.82,277,174,126,23,0.923333333333,0.42
0.83,277,172,128,23,0.923333333333,0.426666666667
0.84,278,170,130,22,0.926666666667,0.433333333333
0.85,278,169,131,22,0.926666666667,0.436666666667
0.86,278,167,133,22,0.926666666667,0.443333333333
0.87,278,166,134,22,0.926666666667,0.446666666667
0.88,279,164,136,21,0.93,0.453333333333
0.89,280,163,137,20,0.933333333333,0.456666666667
0.9,281,161,139,19,0.936666666667,0.463333333333
0.91,281,160,140,19,0.936666666667,0.466666666667
0.92,281,155,145,19,0.936666666667,0.483333333333
0.93,281,151,149,19,0.936666666667,0.496666666667
0.94,281,149,151,19,0.936666666667,0.503333333333
0.95,281,147,153,19,0.936666666667,0.51
0.96,282,144,156,18,0.94,0.52
0.97,282,144,156,18,0.94,0.52
0.98,283,142,158,17,0.943333333333,0.526666666667
0.99,283,138,162,17,0.943333333333,0.54
1.0,284,136,164,16,0.946666666667,0.546666666667
1.01,285,136,164,15,0.95,0.546666666667
1.02,285,132,168,15,0.95,0.56
1.03,285,132,168,15,0.95,0.56
1.04,286,129,171,14,0.953333333333,0.57
1.05,286,127,173,14,0.953333333333,0.576666666667
1.06,286,125,175,14,0.953333333333,0.583333333333
1.07,288,122,178,12,0.96,0.593333333333
1.08,290,121,179,10,0.966666666667,0.596666666667
1.09,290,120,180,10,0.966666666667,0.6
1.1,290,116,184,10,0.966666666667,0.613333333333
1.11,290,116,184,10,0.966666666667,0.613333333333
1.12,290,115,185,10,0.966666666667,0.616666666667
1.13,290,115,185,10,0.966666666667,0.616666666667
1.14,290,109,191,10,0.966666666667,0.636666666667
1.15,290,106,194,10,0.966666666667,0.646666666667
1.16,290,104,196,10,0.966666666667,0.653333333333
1.17,291,103,197,9,0.97,0.656666666667
1.18,292,102,198,8,0.973333333333,0.66
1.19,292,99,201,8,0.973333333333,0.67
1.2,292,96,204,8,0.973333333333,0.68
1.21,292,95,205,8,0.973333333333,0.683333333333
1.22,292,93,207,8,0.973333333333,0.69
1.23,292,91,209,8,0.973333333333,0.696666666667
1.24,292,90,210,8,0.973333333333,0.7
1.25,292,90,210,8,0.973333333333,0.7
1.26,292,89,211,8,0.973333333333,0.703333333333
1.27,292,87,213,8,0.973333333333,0.71
1.28,293,85,215,7,0.976666666667,0.716666666667
1.29,294,84,216,6,0.98,0.72
1.3,294,80,220,6,0.98,0.733333333333
1.31,294,80,220,6,0.98,0.733333333333
1.32,294,80,220,6,0.98,0.733333333333
1.33,294,78,222,6,0.98,0.74
1.34,294,77,223,6,0.98,0.743333333333
1.35,294,76,224,6,0.98,0.746666666667
1.36,295,75,225,5,0.983333333333,0.75
1.37,295,73,227,5,0.983333333333,0.756666666667
1.38,295,70,230,5,0.983333333333,0.766666666667
1.39,295,70,230,5,0.983333333333,0.766666666667
1.4,295,67,233,5,0.983333333333,0.776666666667
1.41,295,65,235,5,0.983333333333,0.783333333333
1.42,295,62,238,5,0.983333333333,0.793333333333
1.43,295,61,239,5,0.983333333333,0.796666666667
1.44,296,59,241,4,0.986666666667,0.803333333333
1.45,296,56,244,4,0.986666666667,0.813333333333
1.46,296,55,245,4,0.986666666667,0.816666666667
1.47,296,53,247,4,0.986666666667,0.823333333333
1.48,296,51,249,4,0.986666666667,0.83
1.49,296,49,251,4,0.986666666667,0.836666666667
1.5,296,48,252,4,0.986666666667,0.84
1.51,296,47,253,4,0.986666666667,0.843333333333
1.52,296,47,253,4,0.986666666667,0.843333333333
1.53,296,47,253,4,0.986666666667,0.843333333333
1.54,297,44,256,3,0.99,0.853333333333
1.55,297,43,257,3,0.99,0.856666666667
1.56,298,43,257,2,0.993333333333,0.856666666667
1.57,298,43,257,2,0.993333333333,0.856666666667
1.58,298,41,259,2,0.993333333333,0.863333333333
1.59,298,41,259,2,0.993333333333,0.863333333333
1.6,298,41,259,2,0.993333333333,0.863333333333
1.61,298,40,260,2,0.993333333333,0.866666666667
1.62,298,38,262,2,0.993333333333,0.873333333333
1.63,298,38,262,2,0.993333333333,0.873333333333
1.64,298,38,262,2,0.993333333333,0.873333333333
1.65,298,37,263,2,0.993333333333,0.876666666667
1.66,298,36,264,2,0.993333333333,0.88
1.67,298,34,266,2,0.993333333333,0.886666666667
1.68,298,34,266,2,0.993333333333,0.886666666667
1.69,298,32,268,2,0.993333333333,0.893333333333
1.7,298,31,269,2,0.993333333333,0.896666666667
1.71,298,31,269,2,0.993333333333,0.896666666667
1.72,298,31,269,2,0.993333333333,0.896666666667
1.73,298,30,270,2,0.993333333333,0.9
1.74,298,28,272,2,0.993333333333,0.906666666667
1.75,298,27,273,2,0.993333333333,0.91
1.76,298,25,275,2,0.993333333333,0.916666666667
1.77,298,23,277,2,0.993333333333,0.923333333333
1.78,298,23,277,2,0.993333333333,0.923333333333
1.79,298,23,277,2,0.993333333333,0.923333333333
1.8,298,23,277,2,0.993333333333,0.923333333333
1.81,299,22,278,1,0.996666666667,0.926666666667
1.82,299,20,280,1,0.996666666667,0.933333333333
1.83,299,18,282,1,0.996666666667,0.94
1.84,299,18,282,1,0.996666666667,0.94
1.85,300,17,283,0,1.0,0.943333333333
1.86,300,17,283,0,1.0,0.943333333333
1.87,300,17,283,0,1.0,0.943333333333
1.88,300,14,286,0,1.0,0.953333333333
1.89,300,14,286,0,1.0,0.953333333333
1.9,300,13,287,0,1.0,0.956666666667
1.91,300,13,287,0,1.0,0.956666666667
1.92,300,13,287,0,1.0,0.956666666667
1.93,300,13,287,0,1.0,0.956666666667
1.94,300,13,287,0,1.0,0.956666666667
1.95,300,12,288,0,1.0,0.96
1.96,300,12,288,0,1.0,0.96
1.97,300,11,289,0,1.0,0.963333333333
1.98,300,11,289,0,1.0,0.963333333333
1.99,300,10,290,0,1.0,0.966666666667
2.0,300,9,291,0,1.0,0.97
2.01,300,9,291,0,1.0,0.97
2.02,300,9,291,0,1.0,0.97
2.03,300,9,291,0,1.0,0.97
2.04,300,9,291,0,1.0,0.97
2.05,300,9,291,0,1.0,0.97
2.06,300,9,291,0,1.0,0.97
2.07,300,8,292,0,1.0,0.973333333333
2.08,300,7,293,0,1.0,0.976666666667
2.09,300,6,294,0,1.0,0.98
2.1,300,5,295,0,1.0,0.983333333333
2.11,300,5,295,0,1.0,0.983333333333
2.12,300,5,295,0,1.0,0.983333333333
2.13,300,5,295,0,1.0,0.983333333333
2.14,300,5,295,0,1.0,0.983333333333
2.15,300,5,295,0,1.0,0.983333333333
2.16,300,4,296,0,1.0,0.986666666667
2.17,300,4,296,0,1.0,0.986666666667
2.18,300,3,297,0,1.0,0.99
2.19,300,3,297,0,1.0,0.99
2.2,300,3,297,0,1.0,0.99
2.21,300,3,297,0,1.0,0.99
2.22,300,3,297,0,1.0,0.99
2.23,300,2,298,0,1.0,0.993333333333
2.24,300,2,298,0,1.0,0.993333333333
2.25,300,2,298,0,1.0,0.993333333333
2.26,300,2,298,0,1.0,0.993333333333
2.27,300,2,298,0,1.0,0.993333333333
2.28,300,2,298,0,1.0,0.993333333333
2.29,300,2,298,0,1.0,0.993333333333
2.3,300,2,298,0,1.0,0.993333333333
2.31,300,2,298,0,1.0,0.993333333333
2.32,300,1,299,0,1.0,0.996666666667
2.33,300,1,299,0,1.0,0.996666666667
2.34,300,1,299,0,1.0,0.996666666667
2.35,300,1,299,0,1.0,0.996666666667
2.36,300,1,299,0,1.0,0.996666666667
