threshold,tp,tn,fp,fn,tpr,fpr
0.0,0,300,0,300,0.0,0.0
0.01,0,300,0,300,0.0,0.0
0.02,1,300,0,299,0.00333333333333,0.0
0.03,4,300,0,296,0.0133333333333,0.0
0.04,5,300,0,295,0.0166666666667,0.0
0.05,7,300,0,293,0.0233333333333,0.0
0.06,8,300,0,292,0.0266666666667,0.0
0.07,10,300,0,290,0.0333333333333,0.0
0.08,11,300,0,289,0.0366666666667,0.0
0.09,14,300,0,286,0.0466666666667,0.0
0.1,21,300,0,279,0.07,0.0
0.11,28,300,0,272,0.0933333333333,0.0
0.12,34,300,0,266,0.113333333333,0.0
0.13,37,300,0,263,0.123333333333,0.0
0.14,48,300,0,252,0.16,0.0
0.15,55,300,0,245,0.183333333333,0.0
0.16,65,300,0,235,0.216666666667,0.0
0.17,73,300,0,227,0.243333333333,0.0
0.18,80,299,1,220,0.266666666667,0.00333333333333
0.19,87,299,1,213,0.29,0.00333333333333
0.2,93,299,1,207,0.31,0.00333333333333
0.21,97,298,2,203,0.323333333333,0.00666666666667
0.22,106,298,2,194,0.353333333333,0.00666666666667
0.23,118,298,2,182,0.393333333333,0.00666666666667
0.24,124,298,2,176,0.413333333333,0.00666666666667
0.25,129,298,2,171,0.43,0.00666666666667
0.26,135,298,2,165,0.45,0.00666666666667
0.27,143,297,3,157,0.476666666667,0.01
0.28,160,297,3,140,0.533333333333,0.01
0.29,167,297,3,133,0.556666666667,0.01
0.3,176,297,3,124,0.586666666667,0.01
0.31,179,297,3,121,0.596666666667,0.01
0.32,185,296,4,115,0.616666666667,0.0133333333333
0.33,189,296,4,111,0.63,0.0133333333333
0.34,194,296,4,106,0.646666666667,0.0133333333333
0.35,201,295,5,99,0.67,0.0166666666667
0.36,202,295,5,98,0.673333333333,0.0166666666667
0.37,206,295,5,94,0.686666666667,0.0166666666667
0.38,208,294,6,92,0.693333333333,0.02
0.39,209,293,7,91,0.696666666667,0.0233333333333
0.4,212,292,8,88,0.706666666667,0.0266666666667
